USPS,GEOID,ANSICODE,NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,ALBERS_X,ALBERS_Y
IA,19035,00465207,Cherokee County,12072,5777,1494180371,423187,     576.906,       0.163,   22494.7591,-7715025
IA,19037,00465208,Chickasaw County,12439,5679,1306338733,3309332,     504.380,       1.278,  290262.2513,-7674118
IA,19039,00465209,Clarke County,9286,4086,1116716080,1524746,     431.167,       0.589,  176877.5854,-7904997
IA,19041,00465625,Clay County,16667,8062,1469139214,13866941,     567.238,       5.354,   61442.9433,-7677115
IA,19043,00465210,Clayton County,18129,8999,2016405612,36586071,     778.539,      14.126,  371659.3734,-7695097
IA,19045,00465211,Clinton County,49116,21733,1799821282,39523759,     694.915,      15.260,  441514.6893,-7797116
IA,19047,00465212,Crawford County,17096,6943,1849742893,2194275,     714.190,       0.847,   42744.4529,-7793245
IA,19049,00465213,Dallas County,66135,27260,1524070766,8421379,     588.447,       3.252,  154087.5216,-7831923
IA,19051,00465214,Davis County,8753,3600,1300661956,6904100,     502.188,       2.666,  292273.7272,-7933114
IA,19053,00465215,Decatur County,8457,3834,1377566066,4142102,     531.881,       1.599,  177571.6478,-7937823
IA,19055,00465216,Delaware County,17764,8028,1496381153,3082496,     577.756,       1.190,  370720.8612,-7736361
IA,19057,00465217,Des Moines County,40325,18535,1077754850,35294123,     416.123,      13.627,  393431.6323,-7909962
IA,19059,00465218,Dickinson County,16667,12849,985764366,60490800,     380.606,      23.356,   57440.3346,-7642520
IA,19061,00465219,Dubuque County,93653,38951,1575501687,21569071,     608.305,       8.328,  409898.0212,-7735451
IA,19063,00465220,Emmet County,10302,4758,1025333118,17196398,     395.883,       6.640,   99807.4699,-7643383
IA,19065,00465221,Fayette County,20880,9558,1892791345,1334074,     730.811,       0.515,  329775.5960,-7694380
IA,19067,00465222,Floyd County,16303,7526,1296631086,1942569,     500.632,       0.750,  252322.6032,-7676242
IA,19069,00465223,Franklin County,10680,4894,1507301318,1428932,     581.972,       0.552,  214206.0224,-7712776
IA,19071,00465224,Fremont County,7441,3431,1323872918,14214133,     511.150,       5.488,   25966.4522,-7938943
